ageb,total
005A,76
007A,585
012A,23
017A,3
019A,156
027A,391
037A,182
040A,189
044A,254
051A,571
053A,240
065A,141
066A,538
069A,101
072A,148
083A,194
085A,98
090A,118
097A,294
098A,190
100,154
1003,168
1005,89
1009,366
101,339
1018,206
101A,176
1022,149
1024,142
1032,426
1037,93
1039,162
103A,216
1041,203
1043,716
1044,159
1056,178
1058,5
1059,154
1062,196
1063,489
1075,161
1077,299
1078,102
108,96
1081,688
1082,160
1085,1
108A,199
1094,80
1096,500
1097,208
109A,4
1102,4
1107,83
1109,166
110A,155
1113,326
112,308
1121,159
1126,169
1128,224
1130,247
1132,277
1136,1
1145,52
1147,610
115,318
1151,148
1152,249
1155,114
115A,31
116,94
1164,56
1166,217
1167,112
116A,357
1170,298
1171,95
1179,19
1183,1
1185,343
1186,27
1189,364
1190,146
1193,219
1198,1
119A,97
120,398
1200,50
1202,140
1203,115
1206,593
1210,273
1215,8
1217,263
1218,152
1221,189
1222,210
1225,455
1236,192
1237,130
1240,1
1241,71
1256,87
1260,158
1268,95
127,155
1272,34
1274,318
1278,280
1282,161
1287,33
1289,408
1291,2
1293,678
1294,80
1297,389
1304,126
1306,319
131,12
1310,432
1319,283
1323,57
1325,571
1330,85
1338,97
133A,236
134,226
1344,706
1345,125
1357,47
1359,1684
135A,245
1361,100
1363,495
1364,257
1371,4
1376,5
1378,4031
1379,106
1382,120
1383,191
1395,121
1397,401
1398,194
1408,62
140A,544
1412,54
1414,272
1418,106
1427,12
1429,531
142A,79
1431,47
1433,280
1434,227
1441,122
1446,81
1448,238
1449,146
1452,277
1453,103
146,17
1460,362
1467,791
1468,107
147,252
1471,330
147A,142
1484,158
149,130
1490,223
1491,123
1499,6
150,95
1501,8
1503,18
1504,147
151,63
1516,124
1518,89
1519,133
1526,174
153,156
1537,399
1538,308
1542,175
1554,183
1556,412
1560,281
1569,86
1573,173
1575,331
1576,162
1579,128
158,1
1588,57
158A,328
1592,167
1594,245
1595,70
1605,167
1607,159
1608,226
161A,305
1624,239
1626,1196
1630,946
1631,87
1634,121
1639,70
1643,32
1645,934
1646,118
1649,158
165,54
1650,1
1653,70
1658,8
165A,578
1664,259
1665,15
1679,111
167A,63
1683,351
1684,75
1687,235
1691,200
1698,164
1699,3
1700,102
1715,190
1716,53
1720,12
1723,153
1728,4
172A,268
1732,2
1734,314
1735,104
1742,133
1747,17
1751,7
1753,267
1757,153
1766,96
1768,443
1769,206
1770,60
1773,28
178,1
1787,216
1791,222
1792,5
1795,91
179A,39
1804,189
1805,12
1808,134
1812,114
1817,1
1819,107
181A,4
1823,185
1824,16
1836,4
1838,218
1839,92
184,6
1842,183
1843,50
1846,26
1850,93
1857,421
1861,543
1862,23
1865,54
1876,288
1877,38
187A,26
1880,506
1884,83
1895,209
1899,165
1901,142
1906,5
1908,233
1909,108
191,183
1912,315
1913,129
1920,102
1927,237
1928,395
1931,96
1935,59
1946,167
194A,110
195,71
1950,132
1951,215
1965,158
1966,151
1970,81
197A,182
1982,98
1984,296
1985,6
1997,215
1999,237
2001,245
2003,845
2004,34
2016,67
2018,159
202,196
2020,223
2022,226
2035,25
2037,181
204,123
2041,147
2042,31
204A,36
2054,101
2056,301
2061,25
2064,30
2069,67
2073,84
208,36
2088,29
2095,74
2098,102
2100,41
2107,115
2108,26
2111,82
2112,30
2115,308
212,575
2126,34
212A,128
2130,235
2131,92
2134,165
2145,411
2150,184
215A,242
2164,198
2165,165
2172,44
2179,234
217A,155
2183,285
2199,91
2200,135
2201,125
2204,121
2215,335
2216,136
2219,85
2220,58
2223,24
223,221
2235,97
2238,36
2242,153
2249,240
224A,54
2251,16
2253,236
2254,62
2257,188
2261,107
2268,303
2269,67
227,423
2272,143
2273,153
2276,193
2280,190
2287,180
2291,235
2292,44
2295,98
2304,154
2308,200
231,589
2312,185
2319,270
2327,121
2331,122
2342,129
2343,201
2346,137
2350,75
2357,377
2358,197
2361,65
2362,173
2365,126
2376,206
2377,233
237A,186
238,234
2380,112
2381,197
2384,206
2395,230
2399,144
2401,161
2408,185
2413,272
2416,94
2420,81
2425,9
2427,293
2428,190
2431,110
2432,127
2435,155
2446,191
2447,53
244A,153
2451,92
2454,106
246,258
2466,56
2469,72
2470,30
2473,138
2478,26
2482,1
2485,80
2488,133
2492,87
2497,5
249A,152
2501,206
2502,15
2505,62
250A,20
2516,208
251A,128
2520,115
2524,184
2529,1
2533,2
2535,119
2536,4
2539,266
2540,18
2543,154
2548,1
254A,277
2554,261
2555,157
2558,201
2562,62
2569,262
256A,32
2573,133
2574,84
2588,466
2589,77
2592,206
2596,73
26,47
2603,6
2605,326
2606,178
2609,234
261,95
2610,58
2613,147
261A,195
262,204
2624,186
2625,78
2628,69
2632,339
2639,381
263A,67
2644,49
2647,98
265,292
2651,85
2659,139
2662,275
2663,14
2666,195
2670,213
2677,343
2681,203
2685,135
2696,353
2697,114
2702,85
2709,204
270A,76
2713,185
2714,77
2717,106
2721,87
2728,305
2729,64
2733,134
2748,31
2752,93
2755,188
276,158
2767,187
2771,129
2774,43
2785,327
2786,113
2789,109
2790,64
2793,57
279A,304
280,106
2802,453
2803,31
2806,36
281,179
2810,88
2818,170
2822,113
2825,56
2837,88
283A,23
2841,36
2844,110
2856,107
2860,34
2863,143
286A,125
2882,150
2894,1
2897,220
2907,6
290A,100
2911,21
2914,247
2929,377
2930,18
2933,69
2948,196
295,187
2952,171
296,233
2964,2
2967,129
2971,171
2979,25
2983,3
2986,231
2990,220
2998,1
30,634
3001,57
3002,18
3005,140
3016,151
301A,139
3020,70
3036,14
3039,88
3040,21
3043,144
3055,31
3058,136
3062,182
306A,12
3074,4
3077,153
308,187
3081,42
3088,231
3096,75
31,644
310,214
3110,8
3113,98
312,183
3128,244
3132,101
3143,71
3144,1
3147,124
3151,69
3163,24
3166,126
3170,227
3177,347
3182,47
3185,241
3197,44
319A,226
3202,9
3209,182
320A,76
3214,36
3217,30
3236,296
3252,1
3267,18
326A,212
327,123
3271,18
3274,240
3286,1
3289,24
3290,66
3293,319
3303,15
3306,395
3310,109
3317,142
3318,1
3321,145
3322,25
3325,126
3336,295
3337,15
3340,336
3341,16
3360,5
3374,356
3378,38
3382,84
338A,28
3394,7
3397,425
3406,278
340A,148
3414,73
3429,6
3433,36
346,346
347,190
3482,66
3486,33
3490,32
350,318
3503,107
350A,280
351,75
3514,155
3518,147
3529,148
3533,68
354,263
3548,33
3552,51
3556,263
3560,182
3567,108
3575,287
3586,186
3590,103
3594,104
3603,69
3607,58
3611,17
3618,127
3626,7
363,202
3630,1
3637,17
3641,76
3645,9
365,110
3656,93
365A,25
3660,125
3664,153
3683,12
368A,194
369,367
3694,68
3698,66
370,342
3700,15
3707,118
3711,133
3715,3
3726,238
372A,121
373,335
3730,179
3734,63
3745,77
3764,39
3768,3
3772,93
378,250
3783,139
3787,94
3791,66
3798,227
3800,182
3804,61
3815,313
3819,70
382,206
382A,196
3834,119
384,145
3849,126
385,223
3853,116
3857,5
3861,36
3868,197
3872,249
3876,1
3891,89
3904,181
3919,168
392,263
3923,155
3938,82
3942,62
3950,12
3957,84
3961,450
3965,1
397,273
3976,472
397A,25
3980,371
3984,35
399,233
3995,96
400A,124
401,141
4014,204
4029,284
4033,216
4048,258
405,724
4052,213
4060,195
4067,227
4071,188
4075,47
4086,194
408A,5
4090,124
4094,79
4103,217
4107,30
4111,13
4118,149
4122,164
4126,8
4141,185
4156,22
416,138
4160,18
4175,122
4183,82
418A,96
4194,101
4198,354
4200,103
4207,118
4211,240
4215,133
4226,125
422A,250
4230,165
4234,206
4245,104
4249,196
4253,166
425A,153
4264,73
4268,132
4272,144
4279,108
4283,178
4287,119
4291,72
4298,251
4300,158
4304,118
4319,89
4323,69
433,199
4338,57
4342,137
4349,27
435,568
4353,236
4357,120
4361,95
4368,99
4376,221
4380,178
4387,174
4391,218
4395,166
4404,65
4408,124
4412,120
4423,86
4427,198
4431,294
4438,131
4442,168
4446,171
4450,149
4457,99
4461,173
4465,208
4476,208
447A,225
448,121
4480,202
4484,75
4495,145
4499,188
45,209
4501,173
4508,79
4512,299
4516,259
452,195
4520,77
4527,127
4531,16
4535,172
454,198
4546,573
454A,198
4550,351
4554,136
4565,605
4569,172
4573,199
457A,187
4584,323
4588,123
4592,136
4599,127
46,294
4601,256
4605,75
4616,237
461A,47
4620,136
4635,122
4643,106
464A,270
4654,72
4658,99
4662,126
4669,122
4673,106
4677,109
469,261
4705,147
471,282
471A,143
4724,72
4728,86
473,148
4732,125
474,190
4743,200
4762,67
4766,3
4777,43
4781,125
4796,65
479A,5
4809,142
4813,104
4821,18
4828,220
4832,92
4836,50
4840,11
4847,163
4851,205
4855,11
486,230
4866,215
486A,13
4870,103
4874,12
4885,170
4889,36
489A,188
490,158
4902,272
4910,2
4917,384
492,282
4921,181
4925,10
4936,313
4940,25
4944,1
4955,39
4963,9
496A,126
4974,34
4978,6
4989,126
4993,122
50,212
5008,287
5012,265
5027,191
503,137
5031,232
5046,113
505,210
5050,71
506,149
5065,161
507A,193
5084,537
5099,77
5101,177
5105,69
5116,195
5120,172
513,2
5135,146
5139,22
5143,93
514A,221
5154,100
5158,56
5162,31
5169,114
5173,224
5177,69
518,31
5188,152
5192,96
5196,128
5205,52
5209,111
521A,166
522,48
5224,227
524,219
5243,84
525,372
5251,56
5258,143
5262,32
5266,232
5270,58
5277,51
528,7
5281,161
5285,22
5296,66
529A,11
5302,40
5309,171
5313,89
5317,26
532,57
5328,86
5332,82
5336,90
5340,165
5347,258
5351,47
5355,45
5366,578
536A,33
537,100
5370,372
5374,68
5385,327
539,161
539A,294
5402,146
541,139
5417,178
5421,223
543,178
5436,125
5440,164
5444,64
5459,305
5463,261
546A,63
547,427
5474,82
5478,105
5482,61
5489,75
5493,145
5497,192
5506,114
550A,88
5510,123
5525,93
5533,71
553A,67
5544,112
5548,27
5552,97
5559,135
556,33
5563,80
5567,133
5578,191
5597,59
560A,90
5614,57
562,91
5622,3
