ageb,total
0010,15
0011,173
0012,22
0013,19
0014,9
0015,13
0016,20
0017,11
0018,11
0019,21
001A,55
0020,164
0021,293
0022,10
0023,218
0024,523
0025,9
0026,218
0027,417
0028,178
0029,14
002A,7
0030,1365
0031,661
0032,80
0033,194
0034,28
0035,9
0036,12
0037,1
0038,7
0039,776
003A,4
0040,276
0041,179
0042,24
0043,1009
0044,158
0045,915
0046,998
0047,224
0048,260
0049,457
004A,159
0050,597
0051,463
0052,348
0053,1071
0054,239
0055,484
0056,77
0057,213
0058,1023
0059,164
005A,480
0060,95
0061,38
0062,495
0063,520
0064,1465
0065,172
0066,770
0067,598
0068,36
0069,323
006A,776
0070,1098
0071,1022
0072,174
0073,1175
0074,927
0075,600
0076,185
0077,1091
0078,382
0079,354
007A,615
0080,799
0081,141
0082,649
0083,1400
0084,1035
0085,271
0086,1230
0087,112
0088,389
0089,864
008A,512
0090,600
0091,389
0092,178
0093,999
0094,665
0095,1078
0096,429
0097,142
0098,468
0099,605
009A,409
0100,1109
0101,955
0102,198
0103,912
0104,310
0105,640
0106,1011
0107,335
0108,1378
0109,268
010A,772
0110,821
0111,404
0112,1269
0113,456
0114,622
0115,2178
0116,283
0117,109
0118,424
0119,342
011A,550
0120,957
0121,82
0122,336
0123,1300
0124,1343
0125,310
0126,301
0127,794
0128,174
0129,133
012A,1158
0130,184
0131,520
0132,142
0133,351
0134,416
0135,479
0136,135
0137,566
0138,1151
0139,1686
013A,558
0140,190
0141,602
0142,867
0143,721
0144,294
0145,129
0146,141
0147,919
0148,84
0149,326
014A,845
0150,338
0151,841
0152,57
0153,492
0154,112
0155,6
0156,282
0157,92
0158,866
0159,560
015A,122
0160,197
0161,56
0162,673
0163,777
0164,160
0165,179
0166,304
0167,60
0168,103
0169,442
016A,117
0170,166
0171,195
0172,392
0173,161
0174,10
0175,1435
0176,268
0177,133
0178,36
0179,331
017A,556
0180,362
0181,527
0182,128
0183,248
0184,781
0185,284
0186,258
0187,249
0188,552
0189,539
018A,751
0190,353
0191,680
0192,62
0193,281
0194,933
0195,457
0196,431
0197,67
0198,80
0199,237
019A,460
0200,36
0201,500
0202,337
0203,392
0204,439
0205,284
0206,1376
0207,501
0208,299
0209,394
020A,293
0210,432
0211,701
0212,806
0213,940
0214,163
0215,92
0216,285
0217,273
0218,540
0219,206
021A,190
0220,523
0221,156
0222,291
0223,714
0224,165
0225,155
0226,328
0227,724
0228,185
0229,134
022A,23
0230,358
0231,802
0232,346
0233,463
0234,15
0235,206
0236,85
0237,299
0238,733
0239,421
023A,337
0240,51
0241,42
0242,242
0243,412
0244,212
0245,297
0246,823
0247,1256
0248,679
0249,5
024A,151
0250,286
0251,1028
0252,775
0253,5
0254,43
0255,217
0256,87
0257,311
0258,194
0259,183
025A,27
0260,6
0261,403
0262,371
0263,534
0264,41
0265,516
0266,124
0267,555
0268,1
0269,81
026A,8
0270,202
0271,347
0272,160
0273,89
0274,6
0275,3
0276,510
0277,110
0278,1248
0279,126
027A,508
0280,200
0281,411
0282,350
0283,101
0284,136
0285,234
0286,171
0287,62
0288,7
0289,77
028A,52
0290,227
0292,9
0293,69
0294,65
0295,449
0296,402
0297,309
0298,98
0299,158
029A,362
0300,124
0301,96
0302,323
0303,303
0304,1
0305,2
0306,85
0307,96
0308,272
0309,145
030A,75
0310,352
0311,617
0312,384
0313,194
0314,24
0315,96
0316,49
0317,103
0318,566
0319,2
031A,17
0320,62
0321,3
0322,293
0324,3
0325,76
0326,530
0327,306
0328,90
0329,180
032A,138
0330,516
0331,36
0332,97
0333,131
0334,390
0335,126
0337,11
0339,10
033A,94
0340,29
0341,182
0343,3
0344,70
0345,555
0346,395
0347,463
0348,154
0349,40
034A,202
0350,396
0351,469
0352,61
0353,12
0354,640
0355,1
0356,467
0358,88
0359,18
035A,2
0360,186
0362,127
0363,356
0364,608
0365,197
0366,156
0367,8
0368,6
0369,659
036A,5
0370,675
0371,58
0372,5
0373,500
0374,2
0375,83
0377,11
0378,582
0379,209
037A,191
0382,292
0383,23
0384,155
0385,250
0386,4
0387,432
0388,259
0389,55
038A,215
0390,6
0391,280
0392,450
0393,692
0394,208
0396,2
0397,283
0398,215
0399,276
039A,103
0400,147
0401,233
0402,45
0403,14
0404,39
0405,779
0406,7
0407,105
040A,265
0410,201
0411,13
0414,5
0415,104
0416,243
0417,37
0418,6
0419,6
041A,2
0420,140
0421,74
0422,36
0423,10
0424,3
0425,273
0426,8
0428,50
0429,66
042A,48
0430,269
0432,17
0433,202
0434,20
0435,654
0436,51
0437,32
0438,35
0439,46
043A,259
0440,102
0441,12
0442,9
0443,201
0444,173
0445,204
0448,125
044A,313
0452,199
0453,4
0454,231
0455,17
0456,13
0457,2
0458,75
0459,81
045A,189
0460,35
0461,4
0462,102
0463,151
0464,143
0466,1
0467,13
0468,126
0469,394
046A,8
0471,309
0472,293
0473,293
0474,207
0475,2
0477,158
0478,157
0479,13
0480,290
0481,35
0482,15
0483,6
0486,231
0487,282
0488,219
0489,23
048A,2
0490,161
0491,30
0492,557
0493,317
0494,4
0495,298
0496,22
0497,61
0498,5
0500,8
0503,137
0504,68
0505,306
0506,199
0507,67
0508,182
0509,8
050A,54
0510,78
0511,110
0512,93
0513,9
0514,164
0515,8
0518,37
051A,685
0522,48
0523,81
0524,228
0525,543
0526,46
0527,127
0528,18
0529,70
052A,134
0530,11
0531,1
0532,74
0533,87
0534,33
0537,101
0538,178
0539,185
053A,437
0541,144
0542,126
0543,325
0544,90
0545,2
0546,3
0547,440
0548,80
0549,40
0550,4
0551,42
0552,532
0553,13
0556,40
0557,81
0558,86
0559,49
055A,1
0560,23
0562,96
0563,16
0564,1
0565,8
0566,3
0567,314
0568,13
0570,16
0571,259
0575,104
0577,350
0578,19
0579,17
057A,20
0581,2
0582,40
0584,22
0585,2
0586,349
0587,38
0590,191
0591,3
0594,62
0595,80
0596,738
0597,419
0598,31
0599,78
059A,710
0600,6
0601,38
0602,355
0603,216
0607,43
0609,494
060A,38
0611,103
0613,649
0614,55
0615,2
0616,50
0617,801
0618,107
0622,177
0623,21
0626,125
0627,93
0628,156
0629,110
0630,84
0631,82
0632,259
0633,113
0634,7
0635,1
0636,173
0637,241
0638,3
0640,144
0641,64
0642,2
0645,39
0646,82
0647,248
0651,463
0652,1
0655,317
0656,22
065A,147
0660,166
0664,12
0665,92
0666,374
0667,3
066A,547
0670,118
0671,269
0672,4
0674,126
0675,189
0676,5
0679,217
067A,56
0683,97
0684,67
0685,94
0686,1
0687,38
0689,194
068A,86
0690,214
0691,17
0693,3
0694,432
0695,2
0698,85
069A,102
0700,191
0702,213
0706,346
0707,28
0710,344
0711,97
0715,233
0716,239
0717,167
0718,277
0719,1
0720,5
0721,158
0722,6
0725,28
0726,554
0727,8
072A,148
0730,12
0734,126
0735,28
0736,284
0737,5
0740,180
0741,13
0744,2
0745,7
0749,158
074A,128
0753,132
0755,253
0759,3
075A,248
0760,16
0763,148
0768,137
0769,16
076A,108
0772,220
0773,5
0774,316
0775,85
0778,5
0779,2
0782,322
0787,145
0789,291
0791,152
0792,30
0793,272
0794,80
0797,313
0798,162
0800,98
0804,1
0806,316
0807,287
080A,75
0810,502
0814,345
0815,1
0819,61
081A,5
0823,205
0824,27
0825,271
0826,3
0829,180
082A,102
0833,106
0834,85
0839,3
083A,373
0842,106
0843,63
0844,253
0848,59
0849,241
0852,54
0853,217
0857,53
0858,16
0859,526
085A,98
0861,118
0862,1
0863,495
0867,16
0868,1
0871,23
0872,20
0876,4
0878,154
0879,103
0880,50
0881,136
0882,292
0886,74
0887,88
0890,308
0891,126
0895,170
0896,184
0897,323
0903,3
0904,99
0908,7
0909,747
090A,140
0912,299
0913,132
0914,6
0918,781
0919,101
0922,336
0923,65
0927,1227
0928,62
0929,371
0931,853
0932,92
0933,315
0937,668
0938,1
0941,294
0942,420
0946,730
0947,129
0948,209
0950,175
0951,2
0952,406
0953,261
0956,143
0957,82
0960,119
0961,252
0965,117
0966,2
0967,284
0968,191
0970,23
0971,121
0972,65
0975,381
0976,4
097A,296
0980,57
0984,228
0985,1
0986,201
0987,110
098A,397
0990,201
0991,126
0994,168
0995,82
0999,115
099A,56
1003,168
1004,127
1005,151
1009,408
100A,138
1013,343
1014,122
1018,223
101A,405
1022,149
1023,86
1024,201
1028,8
1029,44
1032,520
1033,65
1037,97
1038,1
1039,204
103A,216
1041,204
1042,19
1043,716
1044,159
